id,url,league_name,team_name,league_country
1060,13,English Premier League ,Newcastle United,England
1061,110679,German 3. Bundesliga ,Bayern München II,Germany
1062,236,Portuguese Liga ZON SAGRES ,FC Porto,Portugal
1063,74,French Ligue 1 ,Stade Rennais FC,France
1064,237,Portuguese Liga ZON SAGRES ,Sporting CP,Portugal
1065,65,French Ligue 1 ,LOSC Lille,France
1066,17,English Premier League ,Southampton,England
1067,39,Italian Serie A ,Atalanta,Italy
1068,23,German 1. Bundesliga ,Borussia Mönchengladbach,Germany
1069,50,Italian Serie A ,Parma,Italy
1070,457,Spain Primera Division ,Real Sociedad,Spain
1071,325,Turkish Süper Lig ,Galatasaray SK,Turkey
1072,28,German 2. Bundesliga ,Hamburger SV,Germany
1073,10029,German 1. Bundesliga ,TSG 1899 Hoffenheim,Germany
1074,175,German 1. Bundesliga ,VfL Wolfsburg,Germany
1075,326,Turkish Süper Lig ,Fenerbahçe SK,Turkey
1076,190,Italian Serie A ,Brescia,Italy
1077,448,Spain Primera Division ,Athletic Club de Bilbao,Spain
1078,8,English League Championship ,Leeds United,England
1079,1799,English Premier League ,Crystal Palace,England
